route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100236,17590,347631156,"Redmond","EXPRESS",0,7216085,41545006,0,501,1,1
100236,17590,347631166,"Downtown Seattle","EXPRESS",1,7216082,30545007,0,501,1,1
100236,17590,347631176,"Redmond","EXPRESS",0,7216084,41545006,0,501,1,1
100236,17590,347631186,"Downtown Seattle","EXPRESS",1,7216083,30545007,0,501,1,1
100236,17590,347631196,"Downtown Seattle","EXPRESS",1,7216085,30545007,0,501,1,1
100236,17590,347631206,"Redmond","EXPRESS",0,7216086,41545006,0,501,1,1
100236,17590,347631366,"Redmond","EXPRESS",0,7216083,41545006,0,501,1,1
100236,17590,347631376,"Redmond","EXPRESS",0,7216082,41545006,0,501,1,1
100236,17590,347631386,"Downtown Seattle","EXPRESS",1,7216084,30545007,0,501,1,1
100236,17590,347631396,"Downtown Seattle","EXPRESS",1,7216083,30545007,0,501,1,1
100236,17590,347631406,"Redmond","EXPRESS",0,7216084,41545006,0,501,1,1
100236,17590,347631416,"Downtown Seattle","EXPRESS",1,7216082,30545007,0,501,1,1
100236,17590,347631426,"Redmond","EXPRESS",0,7216086,41545006,0,501,1,1
100236,17590,347631436,"Redmond","EXPRESS",0,7216085,41545006,0,501,1,1
100236,17590,347631446,"Downtown Seattle","EXPRESS",1,7216085,30545007,0,501,1,1
100236,17590,347631456,"Downtown Seattle","EXPRESS",1,7216086,30545007,0,501,1,1
100236,17590,347631466,"Redmond","EXPRESS",0,7216082,41545006,0,501,1,1
100236,17590,347631736,"Redmond","EXPRESS",0,7216085,41545006,0,501,1,1
100236,17590,347631746,"Downtown Seattle","EXPRESS",1,7216086,30545007,0,501,1,1
100236,17590,347631756,"Downtown Seattle","EXPRESS",1,7216084,30545007,0,501,1,1
100236,17590,347631766,"Downtown Seattle","EXPRESS",1,7216082,30545007,0,501,1,1
100236,17590,347631776,"Redmond","EXPRESS",0,7216084,41545006,0,501,1,1
100236,17590,347631786,"Redmond","EXPRESS",0,7216086,41545006,0,501,1,1
100236,17590,347631796,"Downtown Seattle","EXPRESS",1,7216085,30545007,0,501,1,1
100236,17590,347632026,"Downtown Seattle","EXPRESS",1,7216086,30545007,0,501,1,1
100236,17590,347632036,"Downtown Seattle","EXPRESS",1,7216085,30545007,0,501,1,1
100236,17590,347632046,"Redmond","EXPRESS",0,7216085,41545006,0,501,1,1
100236,17590,347632056,"Redmond","EXPRESS",0,7216086,41545006,0,501,1,1
100236,17590,347632616,"Redmond","EXPRESS",0,7216085,41545006,0,501,1,1
100236,85775,350247086,"Downtown Seattle","EXPRESS",1,7216149,30545007,0,501,1,1
100236,85775,350247176,"Downtown Seattle","EXPRESS",1,7216180,30545007,0,501,1,1
100236,85775,350247186,"Downtown Seattle","EXPRESS",1,7216100,30545007,0,501,1,1
100236,85775,350247356,"Downtown Seattle","EXPRESS",1,7216179,30545007,0,501,1,1
100236,85775,350247556,"Downtown Seattle","EXPRESS",1,7216179,30545007,0,501,1,1
100236,85775,350247566,"Downtown Seattle","EXPRESS",1,7216172,30545007,0,501,1,1
100481,14320,350885626,"Seacrest Marina","LOCAL",1,7215341,20775004,0,300,1,1
100481,14320,350885636,"Seacrest Marina","LOCAL",1,7215342,20775004,0,300,1,1
100481,14320,350885646,"Seacrest Marina","LOCAL",1,7215341,20775004,0,300,1,1
100481,14320,350885656,"Seacrest Marina","LOCAL",1,7215342,20775004,0,300,1,1
100481,14320,350885666,"Seacrest Marina","LOCAL",1,7215341,20775004,0,300,1,1
100481,14320,350885676,"Seacrest Marina","LOCAL",1,7215342,20775004,0,300,1,1
100481,14320,350885686,"Seacrest Marina","LOCAL",1,7215341,20775004,0,300,1,1
100481,14320,350885696,"Seacrest Marina","LOCAL",1,7215342,20775004,0,300,1,1
100481,14320,350885706,"Seacrest Marina","LOCAL",1,7215341,20775004,0,300,1,1
100481,14320,350885716,"Seacrest Marina","LOCAL",1,7215342,20775004,0,300,1,1
100481,14320,350885726,"Seacrest Marina","LOCAL",1,7215341,20775004,0,300,1,1
100481,14320,350885736,"Seacrest Marina","LOCAL",1,7215344,20775004,0,300,1,1
100481,14320,350885746,"Seacrest Marina","LOCAL",1,7215341,20775004,0,300,1,1
100481,14320,350885756,"Seacrest Marina","LOCAL",1,7215344,20775004,0,300,1,1
100481,14320,350885766,"Seacrest Marina","LOCAL",1,7215341,20775004,0,300,1,1
100481,14320,350885776,"Seacrest Marina","LOCAL",1,7215343,20775004,0,300,1,1
100481,14320,350885786,"Seacrest Marina","LOCAL",1,7215344,20775004,0,300,1,1
100481,14320,350885796,"Seacrest Marina","LOCAL",1,7215343,20775004,0,300,1,1
100481,14320,350885806,"Seacrest Marina","LOCAL",1,7215344,20775004,0,300,1,1
100481,14320,350885816,"Seacrest Marina","LOCAL",1,7215341,20775004,0,300,1,1
100481,14320,350885826,"Seacrest Marina","LOCAL",1,7215344,20775004,0,300,1,1
100481,14320,350885836,"Seacrest Marina","LOCAL",1,7215343,20775004,0,300,1,1
